Name,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Handle Fraction,Spacer Penalty,Handle-Spacer Penalty,Duplex Energy,New Net Energy,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Handle Barrier,Spacer Barrier,Bind Barrier,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Bind ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
J606,-34.3,0,0.5,-33.6,0.868433601,8.6,9.3,-42.9,-33.6,TRUE,2,1000,1000,1000,1000,2,0,9.3,9.3,1000,1000,1000,1000,1000,0.7,0.625,9.3,9.3,1000,1000,1000,1000,1000,7.4,-4.6,
J606-19,-31.6,0,0.53,-30.9,0.85804694,8.6,9.3,-40.2,-30.9,TRUE,2,1000,1000,1000,1000,1,0,9.3,9.3,1000,1000,1000,1000,1000,0.7,0.625,9.3,9.3,1000,1000,1000,1000,1000,7.4,-4.6,
J606-18,-30.1,0,0.56,-29.4,0.826226553,8.2,8.9,-38.3,-29.4,TRUE,2,1000,1000,1000,1000,0,0,8.9,8.9,1000,1000,1000,1000,1000,0.7,0.5,8.9,8.9,1000,1000,1000,1000,1000,5.8,-3,
J606-17,-28.1,0,0.47,-27.4,0.847165545,7.8,8.5,-35.9,-27.4,TRUE,3,1000,1000,1000,1000,5,0,8.5,8.5,1000,1000,1000,1000,1000,0.65,0.5,8.5,8.5,1000,1000,1000,1000,1000,5.2,-3,
J606-16,-24.7,0,0.5,-24,0.972038235,7.8,8.5,-32.5,-24,TRUE,3,1000,1000,1000,1000,4,0,8.5,8.5,1000,1000,1000,1000,1000,0.6,0.375,8.5,8.5,1000,1000,1000,1000,1000,5.2,-3,
J606-15,-22.1,0,0.53,-21.4,0.991068492,7.8,8.5,-29.9,-21.4,TRUE,3,1000,1000,1000,1000,3,0,8.5,8.5,1000,1000,1000,1000,1000,0.55,0.25,8.5,8.5,1000,1000,1000,1000,1000,5.1,-2.9,
J606-14,-20.5,0,0.57,-19.8,0.991154375,7.8,8.5,-28.3,-19.8,TRUE,3,1000,1000,1000,1000,2,0,8.5,8.5,1000,1000,1000,1000,1000,0.55,0.25,8.5,8.5,1000,1000,1000,1000,1000,4,-1.8,
J606-13,-17.8,0,0.62,-17.1,0.991132903,7.8,8.5,-25.6,-17.1,TRUE,3,1000,1000,1000,1000,1,0,8.5,8.5,1000,1000,1000,1000,1000,0.55,0.25,8.5,8.5,1000,1000,1000,1000,1000,3.8,-1.6,
J606-12,-16,0,0.67,-15.3,0.990939683,7.7,8.4,-23.7,-15.3,TRUE,3,1000,1000,1000,1000,0,0,8.4,8.4,1000,1000,1000,1000,1000,0.55,0.25,8.4,8.4,1000,1000,1000,1000,1000,3.8,-1.6,
J606-11,-14.9,0,0.64,-14.2,0.982983059,6.4,7.1,-21.3,-14.2,TRUE,3,1000,1000,1000,1000,0,0,7.1,7.1,1000,1000,1000,1000,1000,0.55,0.25,7.1,7.1,1000,1000,1000,1000,1000,4,-1.8,
J606-8,-6.9,0,0.5,-6.2,0.979454521,5.2,5.9,-12.1,-6.2,TRUE,4,1000,1000,1000,1000,2,0,5.9,5.9,1000,1000,1000,1000,1000,0.45,0.375,5.9,5.9,1000,1000,1000,1000,1000,0,0,
J106,-30.1,0.1,0.75,-29.5,0.334149416,9.4,10,-39.5,-29.4,TRUE,8,1000,1000,1000,1000,1,8.3,15.3,15.4,1000,1000,1000,1000,1000,0.6,0.625,10,10.1,1000,1000,1000,1000,1000,6.6,-3,
J206,-30.7,0,0.55,-30,0.980006346,7.4,8.1,-38.1,-30,TRUE,4,1000,1000,1000,1000,2,0,8.8,8.8,1000,1000,1000,1000,1000,0.55,0.625,8.1,8.1,1000,1000,1000,1000,1000,0,0,
g1,-31.4,0,0.5,-30.9,0.673134416,7.7,8.2,-39.1,-30.9,TRUE,3,1000,1000,1000,1000,0,0,11.8,11.8,1000,1000,1000,1000,1000,0.55,0.625,8.2,8.2,1000,1000,1000,1000,1000,3.7,-1.3,
g2,-36,0,0.4,-35.5,0.741955956,4.4,4.9,-40.4,-35.5,TRUE,3,1000,1000,1000,1000,9,0,7.7,7.7,1000,1000,1000,1000,1000,0.6,0.625,4.9,4.9,1000,1000,1000,1000,1000,6.3,-2.9,
g3,-30.6,0.4,0.8,-30.6,0.32616888,5.5,5.5,-36.1,-30.2,TRUE,0,1000,1000,1000,1000,0,6.8,9.4,9.8,1000,1000,1000,1000,1000,0.5,0.625,5.5,5.9,1000,1000,1000,1000,1000,9.4,-5.5,
g4,-30.5,1.3,0.6,-31.1,0.19689984,5.2,4.6,-35.7,-29.8,TRUE,2,1000,1000,1000,1000,4,12.4,6,12.4,1000,1000,1000,1000,1000,0.5,0.25,4.6,5.9,1000,1000,1000,1000,1000,4.2,-1.4,
g5,-32.5,0,0.35,-31.8,0.916947416,3.4,4.1,-35.9,-31.8,TRUE,5,1000,1000,1000,1000,2,0,6.8,6.8,1000,1000,1000,1000,1000,0.5,0.625,4.1,4.1,1000,1000,1000,1000,1000,9.6,-1.1,
