Name,Folding Barrier,Handle Barrier,Spacer Barrier,Net Binding Energy,Folding Energy,Binding Energy,Handle Fraction,Net Energy,Handle Penalty,Spacer Structure Fraction,Spacer Net Energy,Spacer Penalty,Handle-Spacer Penalty,MS2 in MFE?,Available Seed Bases,Kinetic Handle?,Kinetic MS2?,Kinetic Handle Barrier,Thermo 5 prime bases,Kinetic 5 prime bases,Kinetic Bind Barrier,Local Fraction (5),Local Fraction (10),MFEpath Convergence,Stringent Convergence,Spacer GC Content,Seed GC Content,Spacer ddG,Kinetic Bind ddG,tracer duplex net energy,tracer duplex (ROUGH) barrier,tracr duplex handle formed?,tracr duplex ms2 formed?,Spacer-only Barrier,Spacer-only ddG,Fluorescence
J506-13,6.6,0.0,6.6,-17.3,3.8,-21.1,0.8187077402019333,-17.8,0.0,0.38,-17.3,3.3,3.8,True,5.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,3.8,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J506-12,6.6,0.0,6.6,-15.7,3.8,-19.5,0.8291825503334657,-16.2,0.0,0.42,-15.7,3.3,3.8,True,5.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,3.8,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J506-11,5.4,0.0,5.4,-14.0,2.6,-16.6,0.6866378712851183,-14.5,0.0,0.45,-14.0,2.1,2.6,True,5.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.4,0.25,2.6,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J506-8,4.6,0.0,4.6,-7.2,1.8,-9.0,0.47998834843584504,-7.7,0.0,0.38,-7.2,1.3,1.8,True,5.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.35,0.375,1.8,1000.0,1000.0,1000,1000,1000,0.0,0.0,
J606,9.3,0.0,9.3,-33.6,9.3,-42.9,0.8684336012231813,-34.3,0.0,0.5,-33.6,8.6,9.3,True,2.0,1000,1000,1000.0,1000,2,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.625,9.3,1000.0,1000.0,1000,1000,1000,7.4,-4.599999999999998,
J606-19,9.3,0.0,9.3,-30.9,9.3,-40.2,0.8580469395957708,-31.6,0.0,0.53,-30.9,8.6,9.3,True,2.0,1000,1000,1000.0,1000,1,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.625,9.3,1000.0,1000.0,1000,1000,1000,7.4,-4.599999999999998,
J606-18,8.9,0.0,8.9,-29.4,8.9,-38.3,0.8262265534923394,-30.1,0.0,0.56,-29.4,8.2,8.9,True,2.0,1000,1000,1000.0,1000,0,1000.0,1000.0,1000.0,1000.0,1000.0,0.7,0.5,8.9,1000.0,1000.0,1000,1000,1000,5.8,-3.0,
J606-17,8.5,0.0,8.5,-27.4,8.5,-35.9,0.8471655453768576,-28.1,0.0,0.47,-27.4,7.8,8.5,True,3.0,1000,1000,1000.0,1000,5,1000.0,1000.0,1000.0,1000.0,1000.0,0.65,0.5,8.5,1000.0,1000.0,1000,1000,1000,5.2,-3.0,
J606-16,8.5,0.0,8.5,-24.0,8.5,-32.5,0.9720382348643715,-24.7,0.0,0.5,-24.0,7.8,8.5,True,3.0,1000,1000,1000.0,1000,4,1000.0,1000.0,1000.0,1000.0,1000.0,0.6,0.375,8.5,1000.0,1000.0,1000,1000,1000,5.2,-3.0,
J606-15,8.5,0.0,8.5,-21.4,8.5,-29.9,0.9910684922094884,-22.1,0.0,0.53,-21.4,7.8,8.5,True,3.0,1000,1000,1000.0,1000,3,1000.0,1000.0,1000.0,1000.0,1000.0,0.55,0.25,8.5,1000.0,1000.0,1000,1000,1000,5.1,-2.8999999999999986,
